transaction_id,user_id,merchant_id,amount,timestamp,location,label
2e1776d0-aab5-4d02-99c9-4a82394047a7,1874,4771,10.98,2024-05-06 14:11:29,Jaipur,0
2bb8986a-c775-4af5-aa8f-fdead67eb3d1,10948,3964,7.29,2024-11-07 20:40:05,Kolkata,0
f04be696-c247-4a5b-8c0e-20ad28ef393d,5740,765,5.3,2024-10-11 04:51:46,Kolkata,0
8154991d-50fb-479f-9cb0-9f1bbca31b33,3588,1512,151.83,2024-09-14 02:02:48,Kolkata,0
dbb6547f-989d-4490-9066-a58029429742,14107,4647,42.05,2024-09-01 16:56:21,Lucknow,0
12f388bc-5708-45be-8e67-83e6232b1f6e,15840,4386,371.0,2024-07-22 09:15:04,Mumbai,0
f582b144-6d96-4dec-b6e2-b3062ea8803a,3860,747,37.74,2024-12-22 07:31:10,Kolkata,0
e4679296-f2d2-4580-89a6-c95aadde5d0b,655,393,8.61,2024-01-28 11:37:18,Delhi,0
525ccb26-1216-4f3d-93a0-4c1332c6c8e4,8637,1043,20.88,2024-04-10 17:26:49,Mumbai,0
ee489961-ec1b-469b-a80a-571627e45cf7,2609,1481,92.78,2024-05-12 08:45:16,Delhi,0
85f21bf4-5335-4f3c-80bd-f82f2607691f,9448,1775,19.93,2024-05-31 11:39:48,Pune,0
72b93d63-0723-4f63-8aed-a4f3df50572a,13052,4122,21.75,2024-07-01 21:37:24,Hyderabad,0
202ce525-4dc9-4efc-869a-f4248f3ca7ab,3243,1405,57.96,2024-05-28 15:36:23,Lucknow,0
3bd6b597-5769-4170-a7c6-f085a496b504,871,338,43.53,2024-12-28 20:14:23,Jaipur,0
457c93e3-9130-4c1a-b962-1158ecf8ec88,7458,2647,36.64,2024-08-20 21:56:50,Delhi,0
cd95b8c2-60bc-4b43-826e-de2ad405a795,3889,2058,52.32,2024-04-06 19:35:10,Lucknow,0
0f6f04c7-f734-47b3-b484-32ed681e2527,11031,1706,2.77,2024-03-05 10:21:27,Bengaluru,0
89c5879e-462c-480d-a9f6-788d176c2dae,7357,2208,52.79,2024-07-05 00:33:07,Delhi,0
36857c78-0688-42bc-93a2-48f86940b892,4780,3912,30.26,2024-08-19 04:18:02,Hyderabad,0
